doi,title,abstract,authors,venue,year,citations,url,pdf_url,paperId
10.1109/ICCWAMTIP.2018.8632578,The Evaluation and Comparative Analysis of Role Based Access Control and Attribute Based Access Control Model,"Access control is used as a mechanism to secure the organizations from internal and external attacks. The implementation of access control is done with the help of different access control models through which RBAC and ABAC are on the top. This paper contains the evaluation, and comparison of RBAC and ABAC models. Authors explained the working criteria as well as the comparative analysis of these models. The comparison is done on more than ten different parameters. Authors also mentioned their strengths and weaknesses for a good understanding of models.",Muhammad Umar Aftab; Zhiguang Qin; Zakria; S. Ali; Pirah; Jalaluddin Khan,2018 15th International Computer Conference on Wavelet Active Media Technology and Information Processing (ICCWAMTIP),2018,24,https://www.semanticscholar.org/paper/3c89177e6b5c71211d9b8a362dde7f42d8a8e68a,,3c89177e6b5c71211d9b8a362dde7f42d8a8e68a
10.3389/fmed.2024.1434474,Ethereum blockchain for electronic health records: securing and streamlining patient management,"Electronic health records (EHRs) are increasingly replacing traditional paper-based medical records due to their speed, security, and ability to eliminate redundant data. However, challenges such as EHR interoperability and privacy concerns remain unresolved. Blockchain, a distributed ledger technology comprising connected, encrypted data blocks, presents a promising solution. This study explores how blockchain technology can revolutionize hospital EHR management. Our proposed solution securely transfers medical records between patients and doctors using the InterPlanetary File System (IPFS) and the Ethereum platform. Utilizing smart contracts automates data transfers, ensuring patient anonymity and reducing computational complexity while securely storing patient data on the network. Patient records are stored locally on the Ganache server, with the front end managed using HTML, CSS, ReactJS, and JavaScript, and the backend developed in Solidity. Blockchain technologies combined with Role- Based access control instead of attribute -based access control. The system’s throughput increases linearly with the number of users and requests, enhancing the framework’s efficiency and scalability. The minimum recorded latency is 14 ms.",J. S. S. Mole; R. S. Shaji; Qasem Abu; Al-Haija; Xianlong Zeng; Rahmeh Ibrahim,Frontiers in Medicine,2024,3,https://www.semanticscholar.org/paper/3c99f3b9a5f3abff059c67071e0c6199e86a4d8e,https://doi.org/10.3389/fmed.2024.1434474,3c99f3b9a5f3abff059c67071e0c6199e86a4d8e
10.1007/978-981-16-7502-7_40,ABAC: Anonymous Bilateral Access Control Protocol with Traceability for Fog-Assisted Mobile Crowdsensing,,Biwen Chen; Zhongming Wang; Tao Xiang; Lei Yang; Hongyang Yan; Jin Li,International Conference on Data Mining and Big Data,2021,2,https://www.semanticscholar.org/paper/3cd1bc45bea7abba8ae811d646ce270764c96bce,,3cd1bc45bea7abba8ae811d646ce270764c96bce
10.1109/CCNC.2016.7444868,K-anonymous location-based fine-grained access control for mobile cloud,,Yaser Baseri; A. Hafid; S. Cherkaoui,Consumer Communications and Networking Conference,2016,10,https://www.semanticscholar.org/paper/3d0282d97d77bcff2fa12a7d3ce77581f2e2aadb,,3d0282d97d77bcff2fa12a7d3ce77581f2e2aadb
10.1109/ICHI61247.2024.00096,A Proactive Digital Chain of Custody for Internet of Healthcare Things (IoHT) Data,"The increased use of the Internet of Healthcare Things (IoHT), i.e., Internet of Things devices used in health-care, highlights the need to support continuous gathering and maintenance, leading to challenges in preserving healthcare data security and privacy. This paper briefly examines these challenges and proposes an end-to-end proactive Digital Chain of Custody (DCoC) when using IoHT. It outlines an IoHT-DCoC using concepts, such as data accountability using datakeeper software and dynamic data logging built on data encryption. Finally, an attribute-based access control (ABAC) model is developed that proactively ensures end-to-end data security and privacy.",Lalitha Donga; Shreya Pramod; Sumita Mishra; R. Raj,IEEE International Conference on Healthcare Informatics,2024,1,https://www.semanticscholar.org/paper/3d385d99ef577b6be608ae7022d75772b64fc6e4,,3d385d99ef577b6be608ae7022d75772b64fc6e4
10.1007/s10586-019-02976-4,A correct-by-construction model for attribute-based access control,,Hania Gadouche; Zoubeyr Farah; A. Tari,Cluster Computing,2018,5,https://www.semanticscholar.org/paper/3d400604984bf2556d6c728f8234ab514a31efca,,3d400604984bf2556d6c728f8234ab514a31efca
,Enhancing Cloud Security through Access Control Models: A Survey,,Chirag Langaliya; Dr Rajanikanth Aluvalu,,2015,21,https://www.semanticscholar.org/paper/3db4999bd40e7ef3a5de7ce752d29348eadd30da,,3db4999bd40e7ef3a5de7ce752d29348eadd30da
10.1109/TrustCom/BigDataSE.2019.00088,A Dynamic Access Control Policy Model for Sharing of Healthcare Data in Multiple Domains,"Authorization models have been developed to prevent unauthorized access to valuable resources such as electronic healthcare records (EHRs). In an applied environment, such as the healthcare domain, there are several types of authorities that generate EHRs and other security parameters via central authority for their users and the attribute authorities. The use of a central authority introduces several challenges in terms of security and privacy due to the increased risk if the central authority is compromised or corrupted. Observing that this research area has not been well addressed to date, we propose and present the first decentralized multi-authority attribute-based access control (DMA-ABAC) model based on the policy model, which enables authorities to independently control their security settings. We present an access control framework for a dynamic cross-domain authorization model that combines Attribute-Based Access Control (ABAC) and Attribute-Based Group Signature (ABGS). This combination aims at providing flexible access control with resistance against reply and third party storage attacks and attribute collusion, and enhanced access control, privacy and selective attributes.",Ahmad Salehi Shahraki; C. Rudolph; M. Grobler,"2019 18th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/13th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE)",2019,15,https://www.semanticscholar.org/paper/3dca21d31570ca7e6a71064a3e4a6779c45af1a2,https://figshare.com/articles/journal_contribution/A_Dynamic_Access_Control_Policy_Model_for_Sharing_of_Healthcare_Data_in_Multiple_Domains/12758408/1/files/24144371.pdf,3dca21d31570ca7e6a71064a3e4a6779c45af1a2
10.1109/tetc.2019.2944787,Enabling Workforce Optimization in Constrained Attribute-Based Access Control Systems,"Effective utilization of human capital is one of the key requirements for any successful business endeavor, with reorganization necessary if there are nonproductive employees or employees that are retiring. However, while reorganizing tasks for newer employees, it should be ensured that the employees have the requisite capabilities of handling the assigned tasks. Furthermore, security constraints forbid any arbitrary assignment of tasks to employees and also enforce major dependencies on other employees who have access to the same tasks. Since Attribute Based Access Control (ABAC) is poised to emerge as the de facto model for specifying access control policies in commercial information systems, we consider organizational policies and constraints to be modeled with ABAC. Given the increasing size and scale of organizations, both in terms of employees and resources that need to be managed, it is crucial that computational solutions are developed to automate the process of employee to task assignment. In this work, we define the Employee Replacement Problem (ERP) which answers the question of whether a given set of employees can be replaced by a smaller set of employees, while ensuring that the desired security constraints are not violated. We prove that the problem is NP-hard and use CNF-SAT to obtain a solution. An extensive experimental evaluation is carried out on diverse data sets to validate the efficiency of the proposed solution.",Arindam Roy; S. Sural; A. Majumdar; Jaideep Vaidya; V. Atluri,IEEE Transactions on Emerging Topics in Computing,2021,7,https://www.semanticscholar.org/paper/3de2e26f8974aac37d80779895bad6d2c46009b9,https://doi.org/10.1109/tetc.2019.2944787,3de2e26f8974aac37d80779895bad6d2c46009b9
10.24251/HICSS.2021.853,A Systematic Mapping Study of Access Control in the Internet of Things,"Internet of Things (IoT) provide wide range of services in both domestic and industrial environments. Access control plays a crucial role as to granting access rights to users and devices when an IoT device is connected to a network. Over the years, traditional access control models such as RBAC and ABAC have been extended to the IoT. Additionally, several other approaches have also been proposed for the IoT. This research performs a systematic mapping study of the research that has been conducted on the access control in the IoT. Based on the formulated search strategy, 1,617 articles were collected and screened for review. The systematic mapping study conducted in the paper answers three research questions regarding the access control in the IoT, i.e., what kind of access control related concerns have been raised in the IoT so far? what kind of solutions have been presented to improve access control in the IoT? what kind of research gaps have been identiﬁed in the access control research in the IoT? To the best of our knowledge, this is the ﬁrst systematic mapping study performed on this topic.",K. Ragothaman; Yong Wang,Hawaii International Conference on System Sciences,2021,3,https://www.semanticscholar.org/paper/3de50be6d239c3843fc05e36b50d793c0c38caf7,http://scholarspace.manoa.hawaii.edu/bitstream/10125/71474/1/0693.pdf,3de50be6d239c3843fc05e36b50d793c0c38caf7
10.1109/CIST.2018.8596495,ABAC Conceptual Graph Model for Composite Web Services,"The Web service technology provides an environment in which heterogeneous components can collaborate together to achieve a common goal. However, the opening of Web services on the Internet is still subject to security vulnerability. The increased awareness of the importance of security in composite Web services has made access control a relevant component. In recent years, Attribute Based Access Control (ABAC) is an emerging paradigm that has been studied, the latter allows the creation of access policies based on the attributes of the users, the objects and the environment. In this paper, an intuitive graphical access control model for composite web services based on conceptual graph is proposed. The proposed model allows the formalization of all ABAC attributes on conceptual graph, and the security process is also performed by the conceptual graph operations. On the one hand, the proposed model provides an intuitive tool to help the providers of Web service to manage their access control policies. On the other hand, the model makes a step towards in the development of access control models based on formal model.",Nabil Djebari; Hachem Slimani; Hassina Nacer; D. Aïssani; Kadda Beghdad Bey,Colloquium in Information Science and Technology,2018,3,https://www.semanticscholar.org/paper/3e2a59ded8ed19af37c17886b82e7a3e6168eb03,,3e2a59ded8ed19af37c17886b82e7a3e6168eb03
10.1109/TASE.2019.00-22,ABAC Requirements Engineering for Database Applications,"We show how complex privacy requirements can be represented and processed by an extended model of Attribute Based Access Control (ABAC), working with a simple database applications pattern. During application model development, most likely based on UML (e.g. Use Case, Class Diagrams), the analyst and possibly the end user specifies ABAC permissions, and then verifies their effect by running queries on the target data. The ABAC model supports positive and negative permissions, ""break glass"" overrides of negative permissions, and message/alert generation. The permissions combining algorithms are based on relational database optimisation, and permissions processing is implemented by query modification, producing structurally-optimised queries in an SQL-like language; the queries can then be processed by many database and big data systems. The method and models have been implemented in a prototype Privacy Preferences Tool in collaboration with a large medical records development, and we discuss experiences with focus group evaluations of this tool.",J. Longstaff; Mengda He,Theoretical Aspects of Software Engineering,2019,1,https://www.semanticscholar.org/paper/3e312cf6e7992a60c3b90bb8fbaae22e5e1d89a1,https://research.tees.ac.uk/files/9586748/TASEt_v33.pdf,3e312cf6e7992a60c3b90bb8fbaae22e5e1d89a1
10.1109/CCISP59915.2023.10355841,A Data Security Exchange and Sharing System Construction Method and Perfomance Evaluation,"Sensitive data faces security risks of theft, tampering, or abuse during the exchange and sharing process. This paper proposes a new method for constructing a data security exchange and sharing system based on the above risks, and improves attribute-based access control technology to achieve policy conflict resolution through dynamic authentication and multi-party joint authorization. On this basis, real-time recording technology based on Merkle tree is used to achieve tamper proof forensics and precise traceability of data. The experimental results show that the data security exchange and sharing system has the advantages of high encryption speed as well as search efficiency, and has the characteristics of supporting multi-party joint authorization and short response time for access control.",Xiaoyu Guo; Shuyang Wang; Xue Wang; Hong Su,"2023 8th International Conference on Communication, Image and Signal Processing (CCISP)",2023,0,https://www.semanticscholar.org/paper/3e39d9fea665cc83a94fe27fb2a64813645e258b,,3e39d9fea665cc83a94fe27fb2a64813645e258b
